Accident_Index,Accident Date,Month,Year,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200901BS70023,19-01-2021,Jan,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.49391,Daylight,Kensington and Chelsea,None,-0.176861,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,14:27,Urban,Fine no high winds,Car
200901BS70024,27-01-2021,Jan,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.509296,Darkness - lights lit,Kensington and Chelsea,None,-0.194837,1,1,Metropolitan Police,Dry,Single carriageway,30,00:28,Urban,Fine no high winds,Car
200901BS70025,21-01-2021,Jan,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.50228,Darkness - lights lit,Kensington and Chelsea,None,-0.188919,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,23:15,Urban,Raining no high winds,Car
200901BS70026,22-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507588,Darkness - lights lit,Kensington and Chelsea,None,-0.194905,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,23:15,Urban,Raining no high winds,Car
200901BS70027,31-01-2021,Jan,2021,Saturday,Auto traffic signal,Crossroads,Serious,51.488585,Daylight,Kensington and Chelsea,None,-0.193063,2,2,Metropolitan Police,Dry,Single carriageway,30,14:20,Urban,Fine no high winds,Car
200901BS70028,03-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.528344,Daylight,Kensington and Chelsea,None,-0.217295,1,2,Metropolitan Police,Snow,Single carriageway,30,13:25,Urban,Other,Car
200901BS70030,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499201,Darkness - lights lit,Kensington and Chelsea,None,-0.164404,2,2,Metropolitan Police,Dry,Single carriageway,30,22:30,Urban,Fine no high winds,Car
200901BS70031,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,T or staggered junction,Serious,51.517081,Daylight,Kensington and Chelsea,None,-0.204042,2,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car
200901BS70032,29-01-2021,Jan,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.48944,Daylight,Kensington and Chelsea,None,-0.190148,1,1,Metropolitan Police,Dry,Single carriageway,30,08:20,Urban,Fine no high winds,Car
200901BS70033,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.494521,Daylight,Kensington and Chelsea,None,-0.158397,1,2,Metropolitan Police,Dry,Single carriageway,20,12:03,Urban,Fine no high winds,Car
200901BS70035,29-01-2021,Jan,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.508624,Daylight,Kensington and Chelsea,None,-0.203799,1,2,Metropolitan Police,Dry,Single carriageway,30,15:50,Urban,Fine no high winds,Car
200901BS70036,31-01-2021,Jan,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.491173,Darkness - lights lit,Kensington and Chelsea,None,-0.18014,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,01:01,Urban,Fine no high winds,Car
200901BS70037,28-01-2021,Jan,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.495478,Daylight,Kensington and Chelsea,None,-0.202731,1,1,Metropolitan Police,Wet or damp,One way street,30,07:45,Urban,Raining no high winds,Car
200901BS70039,27-01-2021,Jan,2021,Tuesday,Auto traffic signal,Crossroads,Serious,51.495658,Daylight,Kensington and Chelsea,None,-0.173622,1,2,Metropolitan Police,Dry,Single carriageway,30,12:30,Urban,Fine no high winds,Car
200901BS70040,31-01-2021,Jan,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.499727,Daylight,Kensington and Chelsea,None,-0.163518,1,2,Metropolitan Police,Dry,Dual carriageway,30,10:08,Urban,Fine no high winds,Car
200901BS70041,22-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.507802,Darkness - lights lit,Kensington and Chelsea,None,-0.202966,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:19,Urban,Fine no high winds,Car
200901BS70042,29-01-2021,Jan,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.508972,Darkness - lights lit,Kensington and Chelsea,None,-0.197156,1,1,Metropolitan Police,Dry,Single carriageway,30,20:35,Urban,Fine no high winds,Car
200901BS70043,20-01-2021,Jan,2021,Tuesday,Auto traffic signal,T or staggered junction,Slight,51.513036,Daylight,Kensington and Chelsea,None,-0.204201,1,1,Metropolitan Police,Dry,Single carriageway,30,13:27,Urban,Fine no high winds,Car
200901BS70044,17-01-2021,Jan,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.512443,Daylight,Kensington and Chelsea,None,-0.206531,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70045,15-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,51.491908,Daylight,Kensington and Chelsea,None,-0.192787,1,1,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
200901BS70047,09-02-2021,Feb,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.497811,Daylight,Kensington and Chelsea,None,-0.202351,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,09:15,Urban,Raining no high winds,Car
200901BS70049,28-01-2021,Jan,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.486273,Daylight,Kensington and Chelsea,None,-0.171549,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Raining no high winds,Car
200901BS70050,23-01-2021,Jan,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500738,Daylight,Kensington and Chelsea,None,-0.193879,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,11:15,Urban,Fine no high winds,Car
200901BS70051,26-01-2021,Jan,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.50012,Daylight,Kensington and Chelsea,None,-0.1599,1,2,Metropolitan Police,Dry,Single carriageway,30,14:40,Urban,Fine no high winds,Car
200901BS70052,03-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.49209,Daylight,Kensington and Chelsea,None,-0.192924,1,1,Metropolitan Police,Dry,One way street,30,09:58,Urban,Fine no high winds,Car
200901BS70053,10-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.49105,Daylight,Kensington and Chelsea,None,-0.160698,1,2,Metropolitan Police,Wet or damp,One way street,30,08:10,Urban,Fine no high winds,Car
200901BS70054,30-01-2021,Jan,2021,Friday,Auto traffic signal,Roundabout,Slight,51.504672,Daylight,Hammersmith and Fulham,None,-0.215914,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:28,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
200901BS70055,28-01-2021,Jan,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.506379,Darkness - lights lit,Kensington and Chelsea,None,-0.204031,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,19:53,Urban,Raining no high winds,Car
200901BS70056,29-01-2021,Jan,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.480175,Daylight,Kensington and Chelsea,None,-0.178417,1,2,Metropolitan Police,Dry,Single carriageway,30,14:05,Urban,Fine no high winds,Motorcycle 125cc and under
200901BS70057,10-02-2021,Feb,2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.491836,Darkness - lights lit,Kensington and Chelsea,None,-0.159225,1,1,Metropolitan Police,Dry,Single carriageway,30,23:55,Urban,Fine no high winds,Car
200901BS70058,10-02-2021,Feb,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.516717,Daylight,Kensington and Chelsea,None,-0.209678,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,08:35,Urban,Fine no high winds,Car
200901BS70060,12-02-2021,Feb,2021,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.490115,Daylight,Kensington and Chelsea,None,-0.193146,1,2,Metropolitan Police,Dry,Single carriageway,30,07:53,Urban,Fine no high winds,Car
200901BS70061,16-02-2021,Feb,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.508943,Daylight,Kensington and Chelsea,None,-0.195284,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
200901BS70062,16-02-2021,Feb,2021,Monday,Auto traffic signal,T or staggered junction,Slight,51.493264,Daylight,Kensington and Chelsea,None,-0.199072,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:25,Urban,Fine no high winds,Car
200901BS70063,14-02-2021,Feb,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.484765,Darkness - lights lit,Kensington and Chelsea,None,-0.155621,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,21:06,Urban,Fine no high winds,Car
200901BS70064,18-02-2021,Feb,2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.481746,Daylight,Kensington and Chelsea,None,-0.17533,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,07:09,Urban,Fine no high winds,Car
200901BS70065,21-02-2021,Feb,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.487666,Darkness - lights lit,Kensington and Chelsea,None,-0.180135,2,1,Metropolitan Police,Dry,Single carriageway,30,20:42,Urban,Fine no high winds,Car
200901BS70066,15-02-2021,Feb,2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.501516,Darkness - lights lit,Kensington and Chelsea,None,-0.191831,1,1,Metropolitan Police,Dry,Single carriageway,30,00:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70067,21-02-2021,Feb,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.487794,Daylight,Kensington and Chelsea,None,-0.182579,1,2,Metropolitan Police,Dry,One way street,30,10:15,Urban,Fine no high winds,Car
200901BS70069,12-02-2021,Feb,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.502058,Darkness - lights lit,Kensington and Chelsea,None,-0.18619,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:50,Urban,Snowing no high winds,Car
200901BS70070,12-02-2021,Feb,2021,Thursday,Auto traffic signal,T or staggered junction,Slight,51.500994,Daylight,Kensington and Chelsea,None,-0.193004,1,1,Metropolitan Police,Dry,Single carriageway,30,12:20,Urban,Fine no high winds,Car
200901BS70071,20-02-2021,Feb,2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.523977,Darkness - lights lit,Kensington and Chelsea,None,-0.214006,1,2,Metropolitan Police,Dry,Roundabout,30,23:15,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70072,27-02-2021,Feb,2021,Friday,Give way or uncontrolled,Crossroads,Slight,51.484368,Daylight,Kensington and Chelsea,None,-0.170473,1,1,Metropolitan Police,Dry,Single carriageway,30,15:40,Urban,Fine no high winds,Car
200901BS70073,18-01-2021,Jan,2021,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.501169,Darkness - lights lit,Kensington and Chelsea,None,-0.192709,1,1,Metropolitan Police,Dry,Single carriageway,30,16:46,Urban,Fine no high winds,Car
200901BS70075,07-02-2021,Feb,2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,51.48299,Daylight,Kensington and Chelsea,None,-0.185939,2,2,Metropolitan Police,Dry,Single carriageway,30,12:25,Urban,Fine no high winds,Car
200901BS70077,23-02-2021,Feb,2021,Monday,Give way or uncontrolled,Roundabout,Slight,51.515582,Daylight,Kensington and Chelsea,None,-0.205975,1,2,Metropolitan Police,Dry,Roundabout,30,13:23,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70078,22-02-2021,Feb,2021,Sunday,Give way or uncontrolled,T or staggered junction,Serious,51.48375,Darkness - lights lit,Kensington and Chelsea,None,-0.165456,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Car
200901BS70080,26-02-2021,Feb,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.490919,Darkness - lights lit,Kensington and Chelsea,None,-0.181158,1,2,Metropolitan Police,Dry,Single carriageway,30,22:55,Urban,Fine no high winds,Car
200901BS70086,16-01-2021,Jan,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.500731,Daylight,Kensington and Chelsea,None,-0.193447,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:05,Urban,Fine no high winds,Car
200901BS70088,18-02-2021,Feb,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Serious,51.513804,Daylight,Kensington and Chelsea,None,-0.213251,2,2,Metropolitan Police,Wet or damp,Single carriageway,30,08:36,Urban,Other,Car
200901BS70089,04-03-2021,Mar,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.494663,Darkness - lights lit,Kensington and Chelsea,None,-0.190661,1,2,Metropolitan Police,Dry,Single carriageway,30,21:45,Urban,Fine no high winds,Car
200901BS70090,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,51.497543,Daylight,Kensington and Chelsea,None,-0.16764,1,2,Metropolitan Police,Dry,Dual carriageway,30,08:55,Urban,Fine no high winds,Car
200901BS70091,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.517475,Daylight,Kensington and Chelsea,None,-0.206333,2,2,Metropolitan Police,Dry,Single carriageway,30,08:30,Urban,Fine no high winds,Car
200901BS70092,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.485759,Darkness - lights lit,Kensington and Chelsea,None,-0.173154,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,20:20,Urban,Raining no high winds,Motorcycle over 500cc
200901BS70093,04-03-2021,Mar,2021,Wednesday,Give way or uncontrolled,Mini-roundabout,Slight,51.517796,Daylight,Kensington and Chelsea,None,-0.215545,3,2,Metropolitan Police,Dry,Roundabout,30,14:51,Urban,Fine no high winds,Motorcycle 50cc and under
200901BS70094,06-03-2021,Mar,2021,Friday,Auto traffic signal,Crossroads,Slight,51.497048,Daylight,Kensington and Chelsea,None,-0.159015,1,2,Metropolitan Police,Dry,Single carriageway,30,06:35,Urban,Fine no high winds,Car
200901BS70095,17-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.497103,Darkness - lights lit,Kensington and Chelsea,None,-0.168234,1,1,Metropolitan Police,Dry,Single carriageway,30,19:11,Urban,Fine no high winds,Motorcycle 125cc and under
200901BS70096,03-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.512346,Darkness - lights lit,Kensington and Chelsea,None,-0.21792,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:26,Urban,Raining no high winds,Taxi/Private hire car
200901BS70097,20-02-2021,Feb,2021,Friday,Auto traffic signal,Crossroads,Slight,51.485757,Daylight,Kensington and Chelsea,None,-0.150108,1,2,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
200901BS70099,18-02-2021,Feb,2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.500856,Daylight,Kensington and Chelsea,None,-0.184076,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
200901BS70100,09-03-2021,Mar,2021,Monday,Auto traffic signal,Crossroads,Slight,51.492471,Daylight,Kensington and Chelsea,None,-0.200112,1,2,Metropolitan Police,Dry,Single carriageway,30,13:27,Urban,Fine no high winds,Car
200901BS70101,09-03-2021,Mar,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.518131,Daylight,Kensington and Chelsea,None,-0.213947,1,2,Metropolitan Police,Dry,Single carriageway,30,15:30,Urban,Fine no high winds,Car
200901BS70102,10-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Roundabout,Serious,51.504784,Daylight,Hammersmith and Fulham,None,-0.21735,1,2,Metropolitan Police,Dry,Roundabout,30,13:30,Urban,Fine no high winds,Car
200901BS70107,10-02-2021,Feb,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.483345,Daylight,Kensington and Chelsea,None,-0.185636,1,1,Metropolitan Police,Dry,One way street,30,16:50,Urban,Fine no high winds,Car
200901BS70108,09-03-2021,Mar,2021,Monday,Auto traffic signal,Crossroads,Slight,51.48115,Daylight,Kensington and Chelsea,None,-0.183275,1,3,Metropolitan Police,Dry,Single carriageway,30,10:40,Urban,Fine no high winds,Car
200901BS70109,02-03-2021,Mar,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.49266,Daylight,Kensington and Chelsea,None,-0.160201,1,2,Metropolitan Police,Dry,Single carriageway,30,07:40,Urban,Fine no high winds,Car
200901BS70110,25-02-2021,Feb,2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.491935,Daylight,Kensington and Chelsea,None,-0.194515,1,2,Metropolitan Police,Dry,One way street,30,12:58,Urban,Fine no high winds,Car
200901BS70111,06-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.482328,Darkness - lights lit,Kensington and Chelsea,None,-0.172282,2,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Car
200901BS70112,14-03-2021,Mar,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.481572,Daylight,Kensington and Chelsea,None,-0.18153,1,2,Metropolitan Police,Dry,Single carriageway,30,17:04,Urban,Fine no high winds,Car
200901BS70113,20-02-2021,Feb,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.49892,Darkness - lights lit,Kensington and Chelsea,None,-0.157931,1,2,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200901BS70115,09-03-2021,Mar,2021,Monday,Give way or uncontrolled,Crossroads,Slight,51.490315,Daylight,Kensington and Chelsea,None,-0.177005,1,1,Metropolitan Police,Dry,Single carriageway,30,15:53,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
200901BS70116,26-02-2021,Feb,2021,Thursday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,13:45,Urban,Fine no high winds,Car
200901BS70117,28-02-2021,Feb,2021,Saturday,Auto traffic signal,Crossroads,Slight,51.489535,Darkness - lights lit,Kensington and Chelsea,None,-0.155861,1,2,Metropolitan Police,Dry,Single carriageway,30,06:12,Urban,Fine no high winds,Car
200901BS70118,23-02-2021,Feb,2021,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.493429,Daylight,Kensington and Chelsea,None,-0.174864,1,2,Metropolitan Police,Dry,Single carriageway,30,12:33,Urban,Fine no high winds,Car
200901BS70119,11-02-2021,Feb,2021,Wednesday,Give way or uncontrolled,Crossroads,Serious,51.488481,Daylight,Kensington and Chelsea,None,-0.157488,1,2,Metropolitan Police,Dry,Single carriageway,30,08:40,Urban,Fine no high winds,Car
200901BS70120,01-03-2021,Mar,2021,Sunday,Auto traffic signal,Crossroads,Slight,51.484361,Daylight,Kensington and Chelsea,None,-0.175802,1,2,Metropolitan Police,Dry,Single carriageway,30,13:05,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70121,13-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.483603,Daylight,Kensington and Chelsea,None,-0.184906,1,2,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70122,04-03-2021,Mar,2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.486622,Daylight,Kensington and Chelsea,None,-0.170814,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,07:05,Urban,Fine no high winds,Car
200901BS70123,07-02-2021,Feb,2021,Saturday,Give way or uncontrolled,Crossroads,Slight,51.504966,Daylight,Kensington and Chelsea,None,-0.194,1,1,Metropolitan Police,Dry,Single carriageway,30,13:15,Urban,Other,Car
200901BS70124,17-03-2021,Mar,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.49566,Darkness - lights lit,Kensington and Chelsea,None,-0.173766,1,1,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
200901BS70126,24-02-2021,Feb,2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,51.490535,Daylight,Kensington and Chelsea,None,-0.173827,1,2,Metropolitan Police,Dry,Single carriageway,30,08:00,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200901BS70128,20-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,51.486213,Daylight,Kensington and Chelsea,None,-0.173423,1,2,Metropolitan Police,Dry,Single carriageway,30,08:59,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
200901BS70129,05-02-2021,Feb,2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.506775,Daylight,Kensington and Chelsea,None,-0.194649,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,08:40,Urban,Raining no high winds,Car
200901BS70130,20-03-2021,Mar,2021,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486977,Darkness - lights lit,Kensington and Chelsea,None,-0.187941,1,3,Metropolitan Police,Dry,One way street,30,20:18,Urban,Fine no high winds,Car
200901BS70131,20-03-2021,Mar,2021,Friday,Give way or uncontrolled,T or staggered junction,Serious,51.509794,Daylight,Kensington and Chelsea,None,-0.197988,1,1,Metropolitan Police,Dry,Single carriageway,30,15:00,Urban,Fine no high winds,Taxi/Private hire car
200901BS70133,20-01-2021,Jan,2021,Tuesday,Auto traffic signal,Crossroads,Slight,51.492565,Darkness - lights lit,Kensington and Chelsea,None,-0.200396,2,2,Metropolitan Police,Dry,Single carriageway,30,22:15,Urban,Fine no high winds,Motorcycle 125cc and under
200901BS70134,21-03-2021,Mar,2021,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,51.486608,Daylight,Kensington and Chelsea,None,-0.169951,1,3,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Motorcycle 50cc and under
200901BS70135,24-03-2021,Mar,2021,Tuesday,Give way or uncontrolled,Crossroads,Slight,51.485669,Daylight,Kensington and Chelsea,None,-0.173157,1,2,Metropolitan Police,Dry,Single carriageway,30,10:15,Urban,Fine no high winds,Motorcycle 125cc and under
200901BS70136,23-03-2021,Mar,2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.488776,Daylight,Kensington and Chelsea,None,-0.176346,1,2,Metropolitan Police,Dry,Single carriageway,30,08:15,Urban,Fine no high winds,Motorcycle over 500cc
